Categoria,Porcentagem
Open Source,0.006191950464396285
Mobile,0.0030959752321981426
Java,0.29721362229102166
Software Engineering,0.04953560371517028
Internet,0.12693498452012383
Web Development,0.05263157894736842
Miscellaneous,0.006191950464396285
Microsoft .NET,0.10526315789473684
Microsoft,0.02476780185758514
Next Generation Databases,0.0030959752321981426
PowerBuilder,0.021671826625386997
Client-Server,0.034055727554179564
Computer Graphics,0.018575851393188854
Object-Oriented Programming,0.01238390092879257
S,0.0030959752321981426
Networking,0.021671826625386997
Theory,0.021671826625386997
Programming,0.03715170278637771
Python,0.018575851393188854
Mobile Technology,0.018575851393188854
Business,0.03715170278637771
P,0.0030959752321981426
XML,0.01238390092879257
Perl,0.018575851393188854
java,0.0030959752321981426
Microsoft/.NET,0.0030959752321981426
Miscella,0.0030959752321981426
Object-Technology Programming,0.0030959752321981426
,0.006191950464396285
internet,0.0030959752321981426
.NET,0.0030959752321981426
Algorithmic Art,0.0030959752321981426
PHP,0.0030959752321981426
SOA,0.0030959752321981426
Computer Graph,0.0030959752321981426
Client Server,0.0030959752321981426
In Action,0.0030959752321981426
Software Development,0.0030959752321981426
